,city,job_title,company_name,location,summary,salary
1,New+York,Principal Senior Data Scientist,Barnes & Noble College,"New York, NY",Providing day-to-day guidance to a junior data scientists and analysts. BNED LoudCloud is looking for an exceptional senior data scientist in NYC....,Nothing_found
2,New+York,Data Scientist,KPMG,"New York, NY 10154","KPMG is currently seeking a Data Scientist to join our Advanced Data Analytics Organization. Retrieve, prepare, and process a rich data variety of data sources...",Nothing_found
3,New+York,Quantitative Researcher in Machine Learning,"Two Sigma Investments, LLC.","New York, NY","Two Sigma combines massive amounts of data, world-class computing power, and statistical expertise to develop sophisticated trading models....",Nothing_found
4,New+York,Technology - GSAM Tech - Data Science and Machine Learning Engineer,Goldman Sachs,"New York, NY 10282 (Tribeca area)",IMD Knowledge Management team is looking to expand its presence in New York with the addition of a senior data scientist and machine learning engineer....,Nothing_found
5,New+York,Strategist/Quantitative Analyst - Flow Equity Derivative Strat team,Morgan Stanley,"New York, NY 10032 (Washington Heights area)",Work closely with traders to analyse large data sets with an aim to assist decision making & increase efficiency in trading....,Nothing_found
6,New+York,Equity Core Strat Team Strategist/Quantitative Analyst,Morgan Stanley,"New York, NY 10032 (Washington Heights area)","Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth...",Nothing_found
7,New+York,Data Science Engineer,Pluvio,New York State,About the Data Scientist position. Pluvio is a data driven tech company looking for an experienced Lead Data Scientist to help us scale our data science team....,Nothing_found
8,New+York,Gain Theory – Data Scientist/Statistical Modeler,GroupM,"New York, NY","Gain Theory has an opening in New York City, USA for a Data Scientist or Statistical Modeler. Gain Theory – Data Scientist/Statistical Modeler....",Nothing_found
9,New+York,Machine Learning / Speech Recognition SDE,Speech Up,"New York, NY",Speech Up is a mobile speech therapy platform for kids. Speech Up gamifies the speech therapy process to help the one in twelve kids born with a speech...,Nothing_found
10,New+York,Data Scientist,Healthfirst,"New York, NY",The Data Scientist helps Healthfirst discover the information hidden in vast amounts of data so that informed Enrollment and Billing decisions are made in...,Nothing_found
11,New+York,"Quant – Data Mining, Machine Learning, Financial Markets",maven,"New York, NY","PhD with a focus on data mining, machine learning and or closely related field. 2 -5 years of experience as a researcher applying data mining and or machine...",Nothing_found
12,New+York,"Data Scientist, Forecast Analyst",NBCUniversal,"New York, NY",Experience with data visualization techniques and concepts. Ease in picking up new data / analytic tools. Working knowledge of statistical principles and its...,Nothing_found
13,New+York,Data Scientist,Plug Power Inc.,"Latham, NY 12110",The Data Scientist will be interacting daily with various departments throughout the company. The Data Scientist will focus on analytical diagnostics and...,Nothing_found
14,New+York,Data Scientist,Darwin Recruitment,"New York, NY",Together we are searching for multiple Data Scientists to join an exciting department that are responsible for the development of various systems that manage...,"$150,000 - $180,000 a year"
15,New+York,"Associate, Data Scientist - Optimization",KPMG,"New York, NY 10154","KPMG is currently seeking an Associate, Data Scientist - Optimization, to join our Advanced Data and Analytics Organization....",Nothing_found
16,Chicago,Data Scientist,"Vizient, Inc.","Chicago, IL 60606","Conducts exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities....",Nothing_found
17,Chicago,Scientist - Data and Statistics,United Airlines Inc.,"Chicago, IL 60601","In-depth knowledge of United/Industry data sources. Drives management decisions through descriptive and inquisitive data analytics using tools such as SAS,...",Nothing_found
18,Chicago,Entry-Level Market Research Analyst,Market Track,"Chicago, IL 60606 (Loop area)",Conduct periodic global reviews of the Internet to identify new data sources for clients. Utilize the CyberAnalyst rules engine to set up data collection and...,Nothing_found
19,Chicago,Loyalty - Research Analyst (Entry-Level),Ipsos North America,"Chicago, IL","Find new spins on data visualization, attend and learn at the presentation stage. The ideal candidate is a business-minded individual who is interested in and...",Nothing_found
20,Chicago,Data Science Summer Intern,Motorola Solutions,"Chicago, IL 60604 (Loop area)","This summer intern will work with data scientists and data engineers in the investigation and maturation of data-driven solutions utilizing Python, R, and other...",Nothing_found
21,Chicago,Data Scientist,Knowles,"Itasca, IL","Define data structures, evaluate data quality, perform appropriate data analyses using software such as JMP, Minitab, R, Python and MATLAB....",Nothing_found
22,Chicago,Sr Data Scientist – Modeling,TransReach,"Chicago, IL",Familiarity with financial services industry/ data. Data and analytical infrastructure development and system integration....,Nothing_found
23,Chicago,Fixed Income Quantitative Research Analyst,UBS,"Chicago, IL 60606 (Loop area)","Intellectually curious, accountable and data driven. Are you excited about learning and developing quantitative tools and solutions?...",Nothing_found
24,Chicago,Predictive Analytics Modeling,CVS Health,"Northbrook, IL",Developing innovative analytic approaches leveraging available internal and external data sources; Working with administrative claims data such as pharmacy or...,Nothing_found
